iter	Passed	Remaining
0	2	205
1	3	177
2	5	174
3	6	157
4	8	153
5	9	148
6	10	145
7	12	144
8	14	141
9	15	138
10	17	141
11	19	141
12	20	139
13	22	136
14	23	133
15	24	130
16	26	128
17	27	127
18	29	125
19	30	123
20	32	120
21	33	119
22	35	117
23	36	115
24	37	113
25	39	111
26	40	109
27	41	107
28	43	106
29	45	105
30	47	104
31	49	105
32	51	103
33	52	102
34	54	100
35	55	98
36	57	97
37	58	95
38	59	93
39	61	91
40	62	90
41	63	87
42	64	85
43	66	84
44	67	82
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	79	70
53	80	68
54	81	66
55	82	65
56	84	63
57	86	62
58	87	60
59	88	59
60	90	57
61	91	56
62	93	54
63	94	53
64	95	51
65	97	50
66	98	48
67	99	47
68	101	45
69	102	44
70	104	42
71	105	41
72	107	39
73	108	38
74	110	36
75	111	35
76	112	33
77	114	32
78	115	30
79	117	29
80	118	27
81	119	26
82	121	24
83	122	23
84	123	21
85	125	20
86	126	18
87	128	17
88	129	16
89	131	14
90	132	13
91	133	11
92	135	10
93	136	8
94	137	7
95	139	5
96	140	4
97	142	2
98	143	1
99	144	0
