iter	Passed	Remaining
0	310	310529
1	313	156201
2	314	104564
3	316	78711
4	317	63205
5	319	52862
6	320	45475
7	322	39987
8	325	35804
9	327	32380
10	328	29564
11	330	27231
12	332	25247
13	334	23549
14	337	22181
15	339	20891
16	341	19742
17	343	18729
18	345	17818
19	346	16995
20	348	16242
21	353	15703
22	355	15099
23	357	14538
24	360	14046
25	362	13576
26	364	13121
27	367	12744
28	368	12346
29	370	11973
30	371	11623
31	373	11297
32	375	10990
33	376	10700
34	378	10425
35	381	10203
36	382	9967
37	384	9735
38	386	9514
39	387	9303
40	389	9106
41	390	8918
42	392	8737
43	395	8597
44	397	8434
45	399	8281
46	401	8145
47	403	7999
48	405	7862
49	406	7730
50	408	7610
51	411	7496
52	412	7377
53	414	7263
54	416	7153
55	418	7047
56	419	6944
57	421	6842
58	423	6753
59	425	6668
60	427	6576
61	428	6486
62	430	6400
63	431	6316
64	433	6235
65	434	6155
66	436	6078
67	439	6020
68	441	5950
69	442	5879
70	444	5810
71	445	5744
72	447	5681
73	448	5618
74	450	5555
75	454	5526
76	456	5472
77	458	5414
78	459	5358
79	461	5303
80	462	5250
81	464	5198
82	465	5139
83	466	5088
84	469	5052
85	471	5007
86	472	4963
87	474	4919
88	476	4878
89	478	4838
90	480	4796
91	481	4755
92	485	4730
93	487	4696
94	488	4656
95	490	4617
96	491	4578
97	493	4540
98	494	4502
99	496	4466
100	498	4436
101	500	4403
102	501	4369
103	503	4340
104	505	4311
105	507	4279
106	508	4247
107	510	4215
108	511	4184
109	514	4160
110	516	4132
111	517	4103
112	519	4073
113	520	4045
114	521	4016
115	523	3988
116	524	3959
117	526	3933
118	528	3913
119	530	3888
120	531	3863
121	533	3836
122	534	3811
123	536	3787
124	537	3763
125	539	3739
126	540	3714
127	542	3695
128	544	3675
129	545	3652
130	547	3630
131	548	3609
132	550	3587
133	551	3566
134	553	3545
135	555	3527
136	557	3513
137	559	3496
138	561	3476
139	562	3457
140	564	3437
141	565	3415
142	566	3396
143	568	3377
144	569	3359
145	572	3350
146	574	3335
147	576	3318
148	577	3300
149	579	3283
150	580	3266
151	582	3249
152	583	3232
153	585	3215
154	587	3203
155	589	3188
156	591	3173
157	593	3162
158	595	3147
159	596	3131
160	597	3113
161	599	3098
162	600	3083
163	602	3072
164	604	3058
165	605	3044
166	607	3029
167	608	3015
168	610	3000
169	611	2986
170	613	2972
171	614	2959
172	617	2950
173	618	2937
174	620	2924
175	621	2911
176	623	2898
177	624	2885
178	626	2872
179	627	2859
180	629	2847
181	631	2839
182	633	2828
183	634	2816
184	636	2803
185	637	2791
186	639	2779
187	640	2767
188	642	2756
189	643	2744
190	646	2737
191	648	2727
192	649	2715
